"","X","full_name","passer_id","position","team","season","chances","mcmc.mean","sim.mean","mcmc.sd","sim.sd","headshot_url"
"582",53,"Kyle Boller","00-0022164","QB","BAL",2006,55,-0.00406813878188092,-0.00625633461808241,0.0198728914592594,0.0135888165678735,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BOL517890.png"
"583",54,"Matt Leinart","00-0024225","QB","ARI",2006,354,-0.00748538392725902,-0.00853748313748437,0.0183839569148395,0.0098183466798328,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LEI453701.png"
"584",55,"Aaron Rodgers","00-0023459","QB","GB",2006,14,-0.00609783384846111,-0.00866334869247474,0.0229612626357229,0.0142012892374589,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/ROD339293.png"
"585",56,"Brad Johnson","00-0008442","QB","MIN",2006,421,-0.0057963716440031,-0.00908954802693145,0.0180855448134515,0.00894842819813941,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JOH322990.png"
"586",57,"Byron Leftwich","00-0022177","QB","JAX",2006,177,-0.00877821699304009,-0.00973705794681585,0.0204159405080611,0.0106386952973006,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/LEF677964.png"
"587",58,"Andrew Walter","00-0023504","QB","OAK",2006,267,-0.00837078306820389,-0.0097835245246953,0.019542236580772,0.00969007745604177,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/WAL634887.png"
"588",59,"Jake Plummer","00-0013042","QB","DEN",2006,309,-0.0107063517681508,-0.0111206879996911,0.0194854002705579,0.00832123229495839,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/PLU243945.png"
"589",60,"Jason Campbell","00-0023460","QB","WAS",2006,200,-0.00975685215470289,-0.0111986737544298,0.0209025210621232,0.00965137064559971,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/CAM375235.png"
"590",61,"Chris Simms","00-0022005","QB","TB",2006,103,-0.0105910065237364,-0.0115896663640522,0.0226489641625714,0.0109804505247993,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SIM339462.png"
"591",62,"Brett Favre","00-0005106","QB","GB",2006,602,-0.0105486252941404,-0.0125428600791208,0.0174568094844065,0.0048587934078797,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/FAV540222.png"
"592",63,"Kerry Collins","00-0003292","QB","TEN",2006,86,-0.0116182691448994,-0.0145971329689838,0.0221285949549304,0.0074191254463523,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/COL620367.png"
"593",64,"Mike Vick","00-0020245","QB","ATL",2006,375,-0.0154010630286265,-0.0170525546126019,0.0203998537254003,0.00325215421345606,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/VIC311467.png"
"594",65,"Alex Smith","00-0023436","QB","SF",2006,429,-0.0145618167070539,-0.0176272911629322,0.0203236984146345,0.00259677399358306,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/SMI031126.png"
"595",66,"Rex Grossman","00-0022121","QB","CHI",2006,563,-0.0195096652911159,-0.0202180034939004,0.019877225477063,-0.000471401373730645,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRO597298.png"
"596",67,"Tarvaris Jackson","00-0024279","QB","MIN",2006,77,-0.0183517440372366,-0.0205248850644421,0.0243105277229331,0.00367074553429395,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/JAC566507.png"
"597",68,"Vince Young","00-0024218","QB","TEN",2006,341,-0.0206615319584777,-0.0233323013475981,0.0201553157774539,-0.00333394836954911,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/YOU617196.png"
"598",69,"Bruce Gradkowski","00-0024408","QB","TB",2006,316,-0.0248648677842817,-0.0264971475944326,0.0232020248119751,-0.00355072196157001,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/GRA068015.png"
"599",1,"Tom Brady","00-0019596","QB","NE",2007,673,0.0721390625211067,0.0728306211624828,0.0262951535281484,0.0984809909766807,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/BRA371156.png"
"600",2,"Peyton Manning","00-0010346","QB","IND",2007,553,0.0486571122033614,0.0500753543584139,0.0252772940624948,0.0751157372605299,"http://static.nfl.com/static/content/public/static/img/fantasy/transparent/200x200/MAN515097.png"
